,WBD,ODFL,CMCSA,PYPL,KHC,GILD,GEHC,FAST,BKR,ADP
0,0,1,0,0,0,1,0,0,0,0
1,1,1,0,1,1,0,0,1,0,0
2,1,0,1,1,1,0,1,0,0,0
3,0,1,0,1,0,1,0,1,0,0
4,0,0,0,0,1,1,0,0,0,0
5,1,0,1,0,0,1,1,0,0,1
6,0,1,0,0,0,1,1,1,1,0
7,0,1,0,1,0,1,0,1,1,0
8,0,1,1,1,0,0,0,1,0,1
9,0,1,1,0,0,0,0,1,1,1
10,1,1,0,1,0,0,1,1,0,0
11,1,0,1,0,1,1,0,0,0,1
12,1,0,0,0,0,1,0,0,0,0
13,1,1,0,0,0,0,0,0,1,0
14,0,0,0,1,0,0,1,1,0,1
15,1,0,0,0,0,0,0,0,0,1
16,0,1,0,0,1,1,0,0,0,0
17,0,1,0,0,0,1,0,1,1,1
18,1,0,1,1,0,0,0,1,1,0
19,1,0,1,1,0,0,1,0,1,0
20,1,1,0,1,1,0,0,0,0,1
