,AAPL,MSFT,NVDA,GOOG,AMZN,META,TSM,LLY,TSLA,AVGO
0,1,1,0,0,1,0,0,0,1,1
1,1,1,0,0,0,0,1,0,1,1
2,1,0,1,0,0,0,1,0,1,1
3,1,0,1,1,0,1,1,0,0,0
4,1,0,1,1,0,0,1,0,0,1
5,0,0,1,1,0,0,1,1,0,1
6,0,1,1,1,0,0,1,0,0,1
7,0,0,0,1,0,0,0,0,0,0
8,0,0,1,1,0,0,1,1,0,1
9,0,1,0,1,0,1,1,0,0,1
10,0,1,0,1,1,0,1,0,0,1
11,0,1,0,1,0,0,0,0,0,0
12,0,1,0,1,0,1,1,0,0,1
13,0,1,0,1,0,1,0,0,0,0
14,0,1,1,1,0,1,1,0,0,0
15,0,1,1,1,0,0,1,0,0,1
16,0,0,0,1,0,0,0,0,0,0
17,0,0,0,1,1,1,1,0,0,0
18,0,1,1,1,0,1,1,0,0,0
19,0,1,1,1,1,1,0,0,0,0
20,0,1,0,1,1,1,0,0,0,0
